"ID","Description","IATA_CODE","FIVE_CODE"
853,"Buffalo Narrows, Canada: Buffalo Narrows Airport","YVT",16230
854,"Buffalo Range, Zimbabwe: Buffalo Range Airport","BFO",10564
855,"Buffalo, NY: Buffalo Niagara International","BUF",10792
856,"Buffalo, WY: Johnson County","BYG",10837
857,"Bujumbura, Burundi: Bujumbura International","BJM",10634
858,"Buka Islands, Papua New Guinea: Buka","BUA",10788
859,"Bukavu, Congo (Kinshasa): Bukavu Kavumu","BKY",10656
860,"Bukhara, Uzbekistan: Bukhara Airport","BHK",10597
861,"Bukoba, Tanzania: Bukoba Airport","BKZ",10657
862,"Bulawayo, Zimbabwe: J. M. Nkomo International","BUQ",10799
863,"Bulchi, Ethiopia: Bulchi Airport","BCY",10520
864,"Bulimba, Australia: Bulimba Airport","BIP",10624
865,"Bullhead City, AZ: Laughlin/Bullhead International","IFP",10590
866,"Bulolo, Papua New Guinea: Bulolo Airport","BUL",10795
867,"Bumba, Congo (Kinshasa): Bumba Airport","BMB",10679
868,"Bunbury, Australia: Bunbury Airport","BUY",10805
869,"Bundaberg, Australia: Bundaberg Airport","BDB",10522
870,"Bunia, Congo (Kinshasa): Bunia Airport","BUX",10804
871,"Bunnell, FL: Flagler Executive","FL4",11689
872,"Burao, Somalia: Burao Airport","BUO",10798
873,"Burbank, CA: Bob Hope","BUR",10800
874,"Bureta, Fiji: Bureta Airport","LEV",12943
875,"Burgas, Bulgaria: Burgas Airport","BOJ",10714
876,"Burketown, Australia: Burketown Airport","BUC",10789
877,"Burley/Rupert, ID: Burley Municipal","BYI",10839
878,"Burlington, CO: Kit Carson County","RQX",14616
879,"Burlington, IA: Southeast Iowa Regional","BRL",10744
880,"Burlington, KS: Coffey County","KS2",12796
881,"Burlington, MA: N Eng Heliport","BBF",10495
882,"Burlington, NC: Burlington Alamance Regional","NC8",16552
883,"Burlington, VT: Burlington International","BTV",10785
884,"Burlington/Mount Vernon, WA: Skagit Regional","MVW",13540
885,"Burnie, Australia: Wynyard","WNY",10826
886,"Burnie, Australia: Wynyard","BWT",10826
887,"Burns, OR: Burns Municipal","BNO",10703
888,"Bursa, Turkey: Bursa Airport","BTZ",10787
889,"Burwash Landings, Canada: Burwash","YDB",16030
890,"Busan, South Korea: Gimhae International","PUS",14299
891,"Bushehr, Iran: Bushehr Airport","BUZ",10806
892,"Butler, MO: Butler Memorial","BUM",10796
893,"Butler, PA: Butler County/K. W. Scholter Field","BTP",10780
894,"Butte, MT: Bert Mooney","BTM",10779
895,"Butterworth, Malaysia: Butterworth Airport","BWH",10820
896,"Butuan, Philippines: Bancasi","BXU",10833
897,"Buyo, Cote d'Ivoire: Buyo Airport","BUU",10802
898,"Bydgoszcz, Poland: Szwederowo","BZG",10847
899,"Ca Mau, Vietnam: Ca Mau Airport","CAH",10871
900,"Cabarrus, NC: Concord Regional","JQF",12544
901,"Cabinda, Angola: Cabinda Airport","CAB",10865
902,"Cabo Frio, Brazil: Cabo Frio Airport","CFB",10952
903,"Cabo San Lucas, Mexico: Cabo San Lucas International","CSL",16443
904,"Caceres, Brazil: Caceres Airport","CCX",10914
905,"Cadillac, MI: Wexford County","CAD",10867
906,"Caen, France: Caen Carpiquet","CFR",10956
907,"Cagayan, Philippines: Cagayan de Oro","CGY",10978
908,"Cagliari, Italy: Elmas","CAG",10870
909,"Caherciveen, Ireland: Caherciveen Reenroe","CHE",10983
910,"Caicara, Venezuela: Caicara Venez.","CXA",11211
911,"Cairns, Australia: Cairns International","CNS",11089
912,"Cairo, Egypt: Cairo International","CAI",10872
913,"Cairo, Egypt: Cairo West","EG1",11498
914,"Cairo, IL: Cairo Regional","CIR",11011
915,"Cajamarca, Peru: Gen FAP Armando Revoredo Iglesias","CJA",11018
916,"Calabar, Nigeria: Calabar Airport","CBQ",10896
917,"Calais, France: Calais Dunkerque","CQF",11127
918,"Calama, Chile: El Loa","CJC",11020
919,"Calbayog, Philippines: Calbayog Airport","CYP",11231
920,"Calder Bay, AK: Calder Bay Airport","UXI",15523
921,"Caldwell, NJ: Essex County","CDW",10927
922,"Calexico, CA: Calexico International","CXL",11218
923,"Calgary, Canada: Calgary International","YYC",16257
924,"Calgary, Canada: Calgary Springbank","CA5",10863
925,"Cali, Colombia: Alfonso Bonilla Aragon International","CLO",11052
926,"Calicut, India: Calicut Airport","CCJ",10905
927,"California City, CA: California City Municipal","VWI",15654
928,"Calipatria, CA: Cliff Hatfield Memorial","CLR",11055
929,"Calverton, NY: Calverton Executive Airpark","CTO",11169
930,"Calvi, France: Calvi Sainte Catherine","CLY",11059
931,"Camaguey, Cuba: Ignacio Agramonte International","CMW",11075
932,"Camarillo, CA: Camarillo Airport","C01",10857
933,"Cambridge Bay, Canada: Cambridge Bay Airport","YCB",16014
934,"Cambridge, MA: Arthur D. Little Heliport","XXG",15966
935,"Cambridge, MA: Cambridge Airport","JHY",12495
936,"Cambridge, MD: Cambridge Dorchester Regional","CGE",10964
937,"Cambridge, United Kingdom: Cambridge Airport","CBG",10890
938,"Camden, AR: Harrell Field","CDH",10921
939,"Camden, SC: Woodward Field","CDN",10924
940,"Cameron, SC: McNeil","VWJ",15655
941,"Cameta, Brazil: Cameta Airport","CMT",11072
942,"Camiguin, Philippines: Camiguin Airport","CGM",10969
943,"Camiri, Bolivia: Choreti","CAM",10876
944,"Camp Douglas, WI: Volk Field","VOK",15620
945,"Camp Orkila Eastsound, WA: Camp Orkila Seaplane Base","WA1",16651
946,"Camp Springs, MD: Joint Base Andrews","NSF",10172
947,"Camp Springs, MD: Joint Base Andrews","NSF",13748
948,"Camp Springs, MD: Joint Base Andrews","ADW",10172
949,"Camp Springs, MD: Joint Base Andrews","ADW",13748
950,"Campbell Lagoon, AK: Campbell Lagoon Airport","VZD",15679
951,"Campbell River, Canada: Campbell River Airport","YBL",16007
952,"Campbell River, Canada: Harbor","YHH",16076
953,"Campbellsville, KY: Taylor County","WQN",15826
954,"Campbeltown, United Kingdom: Campbeltown Airport","CAL",10875
955,"Campeche, Mexico: Ingeniero Alberto Acuna Ongay International","CPE",11117
956,"Campia Turzii, Romania: Campia Turzii Airport","RO1",16685
957,"Campina Grande, Brazil: Presidente Joao Suassuna","CPV",11125
958,"Campinas, Brazil: Viracopos International","CPQ",11121
959,"Campo Grande, Brazil: Campo Grande International","CGR",10974
960,"Campos, Brazil: Bartolomeu Lisandro","CAW",10882
961,"Can Tho, Vietnam: Can Tho International","VCA",15564
962,"Canaima, Venezuela: Canaima Airport","CAJ",10873
963,"Canandaigua, NY: Canandaigua Airport","N1Y",16680
964,"Cananea, Mexico: Cananea Airport","CNA",11077
965,"Canberra, Australia: Canberra Airport","CBR",10897
966,"Cancun, Mexico: Cancun International","CUN",11032
967,"Candle, AK: Candle 2","CDL",10923
968,"Cannery Bay, AK: Cannery Bay Airport","A54",10067
969,"Cannes, France: Cannes Mandelieu","CEQ",10942
970,"Cannes, France: Croisette Heliport","JCA",12456
971,"Canobie, Australia: Canobie Airport","CBY",10899
972,"Canon City, CO: Fremont County","CNE",11081
973,"Canouan, Saint Vincent and the Grenadines: Canouan Airport","CIW",11015
974,"Canton, GA: Cherokee County","GA6",16673
975,"Cap-Haitien, Haiti: Cap-Haitien International","CAP",10878
976,"Capanda, Angola: Capanda Dam","KNP",12751
977,"Cape Canaveral, FL: Cape Canaveral AFS Skid Strip","DQY",11405
978,"Cape Dorset, Canada: Cape Dorset Airport","YTE",16202
979,"Cape Dyer, Canada: Cape Dyer Airport","YVN",16225
980,"Cape Eleuthera, The Bahamas: Cape Eleuthera Airport","CEL",10937
981,"Cape Girardeau, MO: Cape Girardeau Regional","CGI",10967
982,"Cape Gloucester, Papua New Guinea: Cape Gloucester Airport","CGC",10963
983,"Cape Greig, AK: Cape Greig Airport","VZW",15698
984,"Cape Lisburne, AK: Cape Lisburne LRRS","LUR",13111
985,"Cape May, NJ: Cape May County","WWD",15882
986,"Cape Newenham, AK: Cape Newenham LRRS","EHM",11512
987,"Cape Palmas, Liberia: Cape Palmas Airport","CPA",11113
988,"Cape Peirce, AK: Cape Peirce Airport","VZV",15697
989,"Cape Pole, AK: Cape Pole Airport","CZP",11247
990,"Cape Rodney, Papua New Guinea: Cape Rodney Airport","CPN",11119
991,"Cape Romanzof, AK: Cape Romanzof Airport","CZF",11241
992,"Cape Sabine, AK: Cape Sabine Airport","CSU",11158
993,"Cape Saint James, Canada: Cape Saint James Airport","YCJ",16020
994,"Cape Sarichef, AK: Cape Sarichef Airport","A61",10074
995,"Cape Simpson, AK: Cape Simpson Airport","A40",10053
996,"Cape Simpson, AK: Cape Simpson No. 1","A79",10092
997,"Cape Simpson, AK: Cape Simpson No. 7","A80",10093
998,"Cape Simpson, AK: Lake","A78",10091
999,"Cape Spencer, AK: Cape Spencer C.G. Helipad","CSP",11154
1000,"Cape Town, South Africa: Cape Town International","CPT",11124
1001,"Cape Vogel, Papua New Guinea: Cape Vogel Airport","CVL",11195
1002,"Cape Yakataga, AK: Yakataga","CYT",11234
1003,"Capri, Italy: Capri Airport","PRJ",14241
1004,"Capurgana, Colombia: Capurgana Airport","CPB",11114
1005,"Caracas, Venezuela: Simon Bolivar International","CCS",10911
1006,"Carajas, Brazil: Carajas Airport","CKS",11033
1007,"Carauari, Brazil: Carauari Airport","CAF",10869
1008,"Caravelas, Brazil: Caravelas Airport","CRQ",11141
1009,"Carbondale, CO: Glen-Aspen","CQL",11128
1010,"Carbondale, IL: Southern Illinois","MDH",13221
1011,"Carcassonne, France: Carcassonne Salvaza","CCF",10902
1012,"Cardiff, United Kingdom: Cardiff Airport","CWL",11208
1013,"Caribou, ME: Caribou Municipal","CAR",10879
1014,"Carlisle, PA: Carlisle Airport","PA4",16519
1015,"Carlisle, United Kingdom: Carlisle Airport","CAX",10883
1016,"Carlsbad, CA: McClellan-Palomar","CLD",11041
1017,"Carlsbad, NM: Cavern City Air Terminal","CNM",11085
1018,"Carmelita, Guatemala: Carmelita Airport","CMM",11069
1019,"Carnarvon, Australia: Carnarvon Airport","CVQ",11199
1020,"Carolina, Brazil: Carolina Airport","CLN",11051
1021,"Carora, Venezuela: Carora Airport","VCR",15568
1022,"Carrabassett, ME: Sugarloaf Regional","B21",10472
1023,"Carriacou, Grenada: Lauriston","CRU",11144
1024,"Carroll, IA: Arthur N Neu","CIN",11009
1025,"Carrollton, GA: West Georgia Regional - O V Gray Field","GA2",11837
1026,"Carry Inlet, AK: Carry Inlet Airport","A87",10100
1027,"Carson City, NV: Carson","CSN",11153
1028,"Cartagena, Colombia: Rafael Nunez","CTG",11164
1029,"Cartago, Colombia: Cartago Airport","CRC",11133
1030,"Cartersville, GA: Cartersville Airport","VPC",15622
1031,"Carupano, Venezuela: General Jose Francisco Bermudez","CUP",11183
1032,"Casa Grande, AZ: Casa Grande Municipal","CGZ",10979
1033,"Casablanca, Morocco: Anfa","CAS",10880
1034,"Casablanca, Morocco: Mohammed V International","CMN",11070
1035,"Cascais, Portugal: Cascais Airport","PT1",16623
1036,"Cascavel, Brazil: Coronel Adalberto Mendes Da Silva","CAC",10866
1037,"Casino, Australia: Casino Airport","CSI",11151
1038,"Casper, WY: Casper/Natrona County International","CPR",11122
1039,"Cassilandia, Brazil: Cassilandia Airport","CSS",11156
1040,"Castaway, Fiji: Castaway Airport","CST",11157
1041,"Castlebar, Ireland: Castlebar Airport","CLB",11039
1042,"Castlegar/Nelson/Trail, Canada: Castlegar West Kootenay Regional","YCG",16018
1043,"Castro, Chile: Gamboa","WCA",15729
1044,"Castroville , TX: Castroville Municipal","T5X",16709
1045,"Casuarito, Colombia: Casuarito Airport","CSR",11155
1046,"Cat Cay, The Bahamas: Cat Cay Airport","CXY",11223
1047,"Cat Lake, Canada: Cat Lake Airport","YAC",15987
1048,"Catamarca, Argentina: Catamarca Aeroclub","CTC",11163
1049,"Catania, Italy: Catania-Fontanarossa","CTA",11161
1050,"Cauayan, Philippines: Cauayan Airport","CYZ",11235
1051,"Cave Junction, OR: Illinois Valley","RQN",14606
1052,"Caxias Do Sul, Brazil: Campo Dos Bugres","CXJ",11217
1053,"Caye Chapel, Belize: Caye Chapel Airport","CYC",11226
1054,"Cayenne, French Guiana: Cayenne Felix Eboue","CAY",10884
1055,"Cayman Brac, Cayman Islands: Charles Kirkconnell International","CYB",11225
1056,"Cayo Coco, Cuba: Jardines del Rey International","CCC",10900
1057,"Cedar City, UT: Cedar City Regional","CDC",10918
1058,"Cedar Rapids/Iowa City, IA: The Eastern Iowa","CID",11003
1059,"Ceduna, Australia: Ceduna Airport","CED",10931
1060,"Ceiba, PR: Jose Aponte de la Torre","JRV",12553
1061,"Ceiba, PR: Roosevelt Roads NAS","NRR",13743
1062,"Center Island, WA: Center Island Airport","CWS",11209
1063,"Central, AK: Central Airport","CEM",10938
1064,"Centralia, Canada: James T. Field Memorial","YCE",16518
1065,"Centralia, IL: Centralia Municipal","ENL",11558
1066,"Ceres, Argentina: Ceres Airport","CRR",11142
1067,"Cerro El Sombrero, Chile: Franco Bianco","SMB",14890
1068,"Chadron, NE: Chadron Municipal","CDR",10925
1069,"Chah Bahar, Iran: Konarak","ZBR",14373
1070,"Chakhcharan, Afghanistan: Chakhcharan Airport","CCN",10908
1071,"Chalkyitsik, AK: Chalkyitsik Airport","CIK",11007
1072,"Challis, ID: Challis Airport","QCG",10987
1073,"Challis, ID: Challis Airport","CHL",10987
1074,"Chalons-En-Champagne, France: Chalons Vatry","XCR",15906
1075,"Chamberlain, SD: Chamberlain Municipal","JZG",12585
1076,"Chambery, France: Chambery Aix Les Bains","CMF",11064
1077,"Champaign/Urbana, IL: University of Illinois/Willard","CMI",11067
1078,"Chanaral, Chile: Chanaral Airport","CNR",11088
1079,"Chandalar, AK: Chandalar Lake","WCR",15731
1080,"Chandigarh, India: Chandigarh Airport","IXC",12418
1081,"Chandler, AZ: Chandler Municipal","CHD",10982
1082,"Chandler, AZ: Stellar Airpark","SLJ",14874
1083,"Changchun, China: Longjia","CGQ",16467
1084,"Changsha, China: Huanghua","CSX",11160
1085,"Changuinola, Panama: Changuinola 1","CHX",10998
1086,"Changzhi, China: Changzhi Airport","CIH",11005
1087,"Changzhou, China: Benniu","CZX",11251
1088,"Chania, Greece: Souda","CHQ",10992
1089,"Chaoyang, China: Chaoyang Airport","CHG",10985
1090,"Chapeco, Brazil: Chapeco Airport","XAP",15901
1091,"Chapel Hill, NC: Horace Williams","IGX",12303
1092,"Chapelco, Argentina: Aviador C. Campos","CPC",11115
1093,"Chapleau, Canada: Chapleau Airport","YLD",16108
1094,"Chariot, AK: Chariot Airport","UXL",15526
1095,"Charleroi, Belgium: Brussels South","CRL",11139
1096,"Charles City, IA: Northeast Iowa Regional","CCY",10915
1097,"Charleston, SC: Charleston AFB/International","CHS",10994
1098,"Charleston, WV: Mcs-Pad Heliport","WV1",15873
1099,"Charleston/Dunbar, WV: Yeager","CRW",11146
1100,"Charleville, Australia: Charleville Airport","CTL",11166
1101,"Charlevoix, MI: Charlevoix Municipal","CVX",11202
1102,"Charlo, Canada: Charlo Airport","YCL",16022
1103,"Charlotte Amalie, VI: Charlotte Amalie Harbor Seaplane Base","SPB",14945
1104,"Charlotte Amalie, VI: Cyril E King","STT",15024
1105,"Charlotte, NC: Charlotte Douglas International","CLT",11057
1106,"Charlottesville, VA: Charlottesville Albemarle","CHO",10990
1107,"Charlottetown, Canada: Charlottetown Airport","YYG",16261
1108,"Charters Towers, Australia: Charters Towers Airport","CXT",11222
1109,"Chateauroux, France: Chateauroux Airport","CHR",10993
1110,"Chatham Islands, New Zealand: Chatham Islands Airport","CHT",10995
1111,"Chatham Kent, Canada: Chatham-Kent","XCM",16457
1112,"Chatham, AK: Chatham Airport","CYM",11230
1113,"Chatham, MA: Chatham Municipal","UBF",15427
1114,"Chattanooga, TN: Lovell Field","CHA",10980
1115,"Cheboygan, MI: Cheboygan County","UXU",15535
1116,"Chefornak, AK: Chefornak Airport","CYF",11227
1117,"Chehalis, WA: Chehalis Centralia","CLS",11056
1118,"Chelan, WA: Chelan Seaplane Landing","WA7",15708
1119,"Chelan, WA: Lake Chelan","VWE",15650
1120,"Chelatna Lake Lodge, AK: Chelatna Lake Lodge Airport","OQO",13913
1121,"Chelyabinsk, Russia: Chelyabinsk Airport","CEK",10936
1122,"Chemehuevi Valley, CA: Chemehuevi Valley Airport","CA6",16517
1123,"Chena Hot Springs, AK: Chena Hot Springs Airport","CEX",10948
1124,"Chenega, AK: Chenega Airport","EGA",11501
1125,"Chenega, AK: Chenega Bay","NCN",13629
1126,"Chengdu, China: Shuangliu","CTU",11172
1127,"Chennai, India: Chennai International","MAA",13153
1128,"Cheongju, South Korea: Cheongju International","CJJ",16507
1129,"Cheraw, SC: Cheraw Municipal/Lynch Bellinger Field","HCW",11130
1130,"Cheraw, SC: Cheraw Municipal/Lynch Bellinger Field","CQW",11130
1131,"Cherbourg, France: Cherbourg Maupertus","CER",10943
1132,"Chernofski, AK: Chernofski Harbor","KCN",12639
1133,"Cherry Point, NC: Cherry Point MCAS","N1C",13697
1134,"Chesapeake, VA: Chesapeake Regional","VA2",15546
1135,"Chester, United Kingdom: Hawarden","CEG",10934
1136,"Chesterfield Inlet, Canada: Chesterfield Inlet Airport","YCS",16027
1137,"Chetumal, Mexico: Chetumal International","CTM",11167
1138,"Chevak, AK: Chevak Airport","VAK",15554
1139,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field","CYS",11233
1140,"Cheyenne, WY: Francis E. Warren AFB Heliport","FEW",11664
1141,"Chi Mei, Taiwan: Chi Mei Airport","CMJ",11068
1142,"Chiang Mai, Thailand: Chiang Mai International","CNX",11091
1143,"Chiang Rai, Thailand: Chiang Rai Airport","CEI",10935
1144,"Chiayi, Taiwan: Chiayi Airport","CYI",11229
1145,"Chibougamau, Canada: Chapais","YMT",16126
1146,"Chicago, IL: Chicago Executive","PWK",14320
1147,"Chicago, IL: Chicago Metropolitan Area","CHI",10986
1148,"Chicago, IL: Chicago Midway International","MDW",13232
1149,"Chicago, IL: Chicago O'Hare International","ORD",13930
1150,"Chicago, IL: Du Page County","DPA",11376
1151,"Chicago, IL: Meigs Field","CGX",10977
1152,"Chicago/Romeoville, IL: Lewis University","LOT",12306
1153,"Chicago/Romeoville, IL: Lewis University","II2",12306
1154,"Chichen Itza, Mexico: Chichen Itza International","CZA",11236
1155,"Chicken, AK: Chicken Airport","CKX",11036
1156,"Chiclayo, Peru: Capt. Jose A. Quinones Gonzales International","CIX",11016
1157,"Chico, CA: Chico Municipal","CIC",11002
1158,"Chicopee Falls, MA: Westover ARB Metropolitan","CEF",10933
1159,"Chicoutimi, Canada: St Honore","YRC",16182
1160,"Chignik Bay, AK: Chignik Bay Airport","KCG",12635
1161,"Chignik Lagoon, AK: Chignik Lagoon Airport","KCL",12638
1162,"Chignik Lake, AK: Chignik Lake Airport","WQZ",15838
1163,"Chignik, AK: Chignik Bay","KBW",12631
1164,"Chignik, AK: Chignik Lake","KCQ",12641
1165,"Chigorodo, Colombia: Chigorodo Airport","IGO",12299
1166,"Chihuahua, Mexico: General Roberto Fierro Villalobos International","CUU",11187
1167,"Chile Chico, Chile: Chile Chico Airport","CCH",10903
1168,"Chilkat Lake, AK: Chilkat Lake Airport","A24",10037
1169,"Chillicothe, OH: Ross County","OH3",13835
1170,"Chiloquin, OR: Chiloquin State","CHZ",10999
1171,"Chimbote, Peru: Teniente Jaime A. de Montreuil Morales","CHM",10988
1172,"China Lake, CA: China Lake Naws","RQK",14603
1173,"China Spring, TX: Wildcat Canyon","T7X",16749
1174,"Chincoteague, VA: Wallops Flight Facility","WAL",15713
1175,"Chingola, Zambia: Kasompe","ZKP",16576
1176,"Chinhae, South Korea: Jinhae","CHF",10984
1177,"Chinitna Bay, AK: Chinitna Bay Airport","A72",10085
1178,"Chino, CA: Chino Airport","CNO",11086
1179,"Chios, Greece: Chios Airport","JKH",12504
1180,"Chipata, Zambia: Chipata Airport","CIP",11010
1181,"Chipley, FL: Vosikas","FL3",11688
1182,"Chisana, AK: Chisana Airport","CZN",11245
1183,"Chistochina, AK: Chistochina Airport","CZO",11246
1184,"Chita, Russia: Chita Airport","HTA",12218
1185,"Chitato, Angola: Chitato Airport","PGI",14085
1186,"Chitina, AK: Chitina Airport","CXC",11213
1187,"Chitral, Pakistan: Chitral Airport","CJL",11023
1188,"Chittagong, Bangladesh: Chittagong Airport","CGP",10972
1189,"Cholet, France: Cholet Le Pontreau","CET",10944
1190,"Chomley, AK: Chomley Airport","CIV",11014
1191,"Chomondely Sound, AK: Chomondely Sound Airport","ZXH",16340
1192,"Chongqing, China: Jiangbei","CKG",11030
1193,"Chowchilla, CA: Chowchilla Airport","UXD",15518
1194,"Christchurch, New Zealand: Christchurch International","CHC",10981
1195,"Christianshab, Greenland: Christianshab Airport","JCH",12459
1196,"Christiansted, VI: Christiansted Harbor Seaplane Base","SSB",14992
1197,"Christiansted, VI: Henry E. Rohlsen","STX",15027
1198,"Christmas Island, Christmas Island: Christmas Island Airport","XCH",15904
1199,"Christmas Island, Kiribati: Christmas Island Airport","CXI",11216
1200,"Chuathbaluk, AK: Chuathbaluk Airport","CHU",10996
1201,"Chub Cay, The Bahamas: Chub Cay Airport","CCZ",10916
1202,"Churchill Falls, Canada: Churchill Falls Airport","ZUM",16330
1203,"Churchill, Canada: Churchill Airport","YYQ",16266
1204,"Chute-Des-Passes, Canada: Chute-Des-Passes Airport","YWQ",16237
1205,"Chuuk, Federated States of Micronesia: Chuuk International","TKK",15237
1206,"Cicia, Fiji: Cicia Airport","ICI",12275
1207,"Ciego de Avila, Cuba: Maximo Gomez","AVI",10430
1208,"Cienfuegos, Cuba: Jaime Gonzalez","CFG",10954
1209,"Cilacap, Indonesia: Tunggul Wulung","CXP",11220
1210,"Cimarron, KS: Cimarron Municipal","UXS",15533
1211,"Cincinnati, OH: Cincinnati - Blue Ash","OH5",13837
1212,"Cincinnati, OH: Cincinnati Municipal Lunken Field","LUK",13105
1213,"Cincinnati, OH: Cincinnati/Northern Kentucky International","CVG",11193
1214,"Cinder Mountain, AK: Cinder Mountain Airport","VZT",15695
1215,"Cinder River Lodge, AK: Cinder River Lodge Airport","OQC",13903
1216,"Cinnabar, AK: Cinnabar Airport","A12",10025
1217,"Circle Hot Springs, AK: Circle Hot Springs Airport","CHP",10991
1218,"Circle, AK: Circle City","IRC",12370
1219,"Circle, MT: Circle Town County","UXY",15539
1220,"City of Industry, CA: Civic Financial Center Heliport","JID",12497
1221,"Ciudad Bolivar, Venezuela: Ciudad Bolivar Airport","CBL",10893
1222,"Ciudad del Carmen, Mexico: Ciudad del Carmen International","CME",11063
1223,"Ciudad del Este, Paraguay: Guarani International","AGT",10209
1224,"Ciudad Guayana, Venezuela: Ciudad Guayana Metropolitan Area","CGU",10976
1225,"Ciudad Juarez, Mexico: Abraham Gonzalez International","CJS",11024
1226,"Ciudad Mante, Mexico: Cuauhtemoc","MMC",13385
1227,"Ciudad Obregon, Mexico: Ciudad Obregon International","CEN",10939
1228,"Ciudad Victoria, Mexico: General Pedro Jose Mendez International","CVM",11196
1229,"Clarendon, TX: Smiley Johnson Municipal/Bass Field","XXD",15963
1230,"Clarks Point, AK: Clarks Point Airport","CLP",11053
1231,"Clarksburg/Fairmont, WV: North Central West Virginia","CKB",11027
1232,"Clarksdale, MS: Fletcher Field","CKM",11031
1233,"Clarksville, TN: Outlaw Field","CKV",11035
1234,"Clay Center, KS: Clay Center Municipal","CJW",11026
1235,"Clear Lake City, TX: Clear Lake Metroport","CLC",11040
1236,"Clear Lake, CA: Pearce Field","CKE",11029
1237,"Clear, AK: Clear Mews","CLF",11043
1238,"Cleburne, TX: Cleburne Regional","TX5",15397
1239,"Clemson, SC: Oconee County Regional","CEU",10945
1240,"Clermont-Ferrand, France: Clermont Ferrand Auvergne","CFE",10953
1241,"Cleveland, OH: Burke Lakefront","BKL",10647
1242,"Cleveland, OH: Cleveland-Hopkins International","CLE",11042
1243,"Cleveland, OH: Cuyahoga County","CGF",10965
1244,"Clewiston, FL: Airglades","FL6",16534
1245,"Clifton, AZ: Greenlee County","CFT",10958
1246,"Clinton, IA: Clinton Municipal","CWI",11207
1247,"Clinton, IN: Frankfort Municipal","FXR",11830
1248,"Clinton, NC: Clinton Sampson County","CTZ",16538
1249,"Clinton, OK: Clinton Regional","CLK",11048
1250,"Clinton, OK: Clinton Sherman","CSM",11152
1251,"Clintonville, WI: Clintonville Municipal","CLI",11046
1252,"Cloquet, MN: Cloquet Carlton County","JZK",12589
1253,"Clover Bay, AK: Clover Bay Airport","ZXN",16346
1254,"Cloverdale, CA: Cloverdale Municipal","ZXT",16352
1255,"Clovis, NM: Cannon AFB","CVS",11200
1256,"Clovis, NM: Clovis Municipal","CVN",11197
1257,"Cluff Lake, Canada: Cluff Lake Airport","XCL",15905
1258,"Cluj-Napoca, Romania: Avram Iancu","CLJ",11047
1259,"Clyde River, Canada: Clyde River Airport","YCY",16028
1260,"Coal Bay, AK: Coal Bay Airport","ZXI",16341
1261,"Coalinga, CA: New Coalinga Municipal","CLG",11044
1262,"Coatesville, PA: Chester County G. O. Carlson","CTH",11165
1263,"Coban, Guatemala: Coban Airport","CBV",10898
1264,"Cobar, Australia: Cobar Airport","CAZ",10885
1265,"Cobija, Bolivia: Cap Av Civ Anibal Arab Fadul International","CIJ",11006
1266,"Cobol, AK: Cobol Alaska/Scaled/","OOB",13893
1267,"Cochabamba, Bolivia: Jorge Wilstermann International","CBB",10887
1268,"Cochrane, Canada: Cochrane Airport","YCN",16024
1269,"Cocoa Beach, FL: Patrick AFB","COF",11099
1270,"Coconut Island, Australia: Coconut Island Airport","CNC",11079
1271,"Cody, WY: Yellowstone Regional","COD",11097
1272,"Coen, Australia: Coen Airport","CUQ",11184
1273,"Coeur d'Alene, ID: Coeur d'Alene - Pappy Boyington Field","COE",11098
1274,"Coffee Point, AK: Coffee Point Airport","CFA",10951
1275,"Coffeyville, KS: Coffeyville Municipal","CFV",10960
1276,"Coffman Cove, AK: Coffman Cove Seaplane Base","KCC",12633
1277,"Coffs Harbour, Australia: Coffs Harbour Airport","CFS",10957
1278,"Coimbatore, India: Coimbatore International","CJB",11019
1279,"Colby, KS: Murray","CBK",10892
1280,"Cold Bay, AK: Cathedral Strip","A69",10082
1281,"Cold Bay, AK: Cold Bay Airport","CDB",10917
1282,"Cold Lake, Canada: Cold Lake Group/Captain R. W. McNair","YOD",16142
1283,"Coldfoot, AK: Coldfoot Airport","CXF",11214
1284,"Coleman, TX: Coleman Municipal","COM",11105
1285,"Colima, Mexico: Colima Airport","CLQ",11054
1286,"Coll Island, United Kingdom: Coll","COL",11104
1287,"Collarenebri, Australia: Collarenebri Airport","CRB",11132
1288,"College Park, MD: College Park Airport","CGS",10975
1289,"College Station/Bryan, TX: Easterwood Field","CLL",11049
1290,"Collegeville, PA: Perkiomen Valley","PA8",16684
1291,"Collingwood, Canada: Collingwood Airport","ON1",16546
1292,"Collinsville, Australia: Collinsville Airport","KCE",12634
1293,"Colmar, France: Colmar Houssen","CMR",11071
1294,"Cologne, Germany: Koln Bonn","CGN",10970
1295,"Colomac, Canada: Colomac Airport","NT2",16513
1296,"Colomb-Bechar, Algeria: Bechar/Leger","CBH",10891
1297,"Colombo, Sri Lanka: Bandaranaike International Colombo","CMB",11061
1298,"Colombo, Sri Lanka: Colombo/Ratmalana","RML",14556
1299,"Colon, Panama: Enrique A Jimenez","ONX",13892
1300,"Colonia, Uruguay: Laguna de Los Patos International","CYR",11232
1301,"Colorado Creek, AK: Colorado Creek Airport","KCR",12642
1302,"Colorado Springs, CO: Butts AAF","FCS",11652
1303,"Colorado Springs, CO: City of Colorado Springs Municipal","COS",11109
1304,"Colorado Springs, CO: USAF Academy Airfield","AFF",10189
